word,definition,translation
xylanbassoric acid,,[化] 木聚糖黄蓍酸
xylane,,木糖胶
xylanthrax,"n. Wood coal, or charcoal; -- so called in distinction\n   from mineral coal.",n. 木炭
Xylaria,,[网络] 炭角菌属；炭棒菌属；炭团菌属
Xylaria polymorpha,,[网络] 多形炭角菌
Xylariaceae,,[网络] 炭角菌科；炭棒科；鹿角菌科
xylary,,"a. 木的, 木质的"
Xylazine,,"甲苯噻嗪(镇静, 镇痛, 肌松药)"
xylem,"n. the woody part of plants: the supporting and water-conducting tissue, consisting primarily of tracheids and vessels",n. 木质部\n[医] 木质部(植物纤维束的)
xylem ray,, 木射线
xylem rays,,[医] 木射线
xylene,n. a colorless flammable volatile liquid hydrocarbon used as a solvent,n. 二甲苯\n[化] 二甲苯
xylene balsam,,[医] 二甲苯香脂
xylene bromide,,[化] 溴代二甲苯
xylene chloride,,[化] 氯代二甲苯
xylene dichloride,,[化] 二氯二甲苯; 二氯代二甲苯
xylene dihalide,,[化] 二卤二甲苯; 二卤代二甲苯
xylene disulfonic acid,,[化] 二甲苯二磺酸
xylene equivalent,,[化] 二甲苯当量
xylene fluoride,,[化] 氟代二甲苯
xylene halide,,[化] 卤代二甲苯
xylene iodide,,[化] 碘代二甲苯
xylene monochloride,,[化] 氯代二甲苯
xylene monosulfonic acid,,[化] 二甲苯磺酸
xylene musk,,[化] 二甲苯麝香; 三硝基二甲叔丁苯
xylene tetrachloride,,[化] 四氯代二甲苯
xylene trichloride,,[化] 三氯代二甲苯
xylenediol,,[化] 二羟甲基苯; 苯二甲醇
xylenesulfonate,,[化] 二甲苯磺酸盐
xylenesulfonic,,二甲苯磺的
xylenesulfonic acid,,[化] 二甲苯磺酸
xylenesulfonyl chloride,,[化] 二甲苯磺酰氯
xylenin,,[医] 结核杆菌二甲苯浸质(一种结核菌毒)
xylenobacillin,,[医] 结核杆菌二甲苯浸质(一种结核菌毒)
xylenol,"n. Any one of six metameric phenol derivatives of xylene,\n   obtained as crystalline substances, (CH3)2.C6H3.OH.",n. [化]二甲苯酚
xylenol blue,,[化] 二甲苯酚蓝
xylenol carboxylic acid,,[化] 二甲苯酚酸; 二甲苯酚羧酸
xylenol orange,,[化] 二甲酚橙
xylenol resin,,[机] 二甲苯酚树脂
xylenol salicylate,,[医] 水扬酸二甲苯酚
xylenol-formaldehyde resin,,[化] 二甲苯酚甲醛树脂
xylenol-salol,,[医] 二甲苯酚萨罗
xylic,"a. Pertaining to, derived from, or related to, xylene;\n   specifically, designating any one of several metameric acids produced\n   by the partial oxidation of mesitylene and pseudo-cumene.",a. 木质部的； 二甲苯甲酸的
xylic acid,,"二甲苯酸, 二甲苯甲酸\n[化] 二甲苯甲酸"
xylidene,,[化] 二甲苯胺
xylidenes,,[化] 二甲苯胺
xylidic acid,,"[化] 4-甲基-1,3-苯二甲酸\n[医] 甲苯二酸"
xylidine,"n. Any one of six metameric hydrocarbons, (CH3)2.C6H3.NH2,\n   resembling aniline, and related to xylene. They are liquids, or easily\n   fusible crystalline substances, of which three are derived from\n   metaxylene, two from orthoxylene, and one from paraxylene. They are\n   called the amido xylenes.",n. 二甲代苯胺\n[化] 二甲苯胺
xylidinic acid,,[化] 甲基苯二甲酸
xylidino-,,[化] 二甲代苯氨基
xylindein,"n. A green or blue pigment produced by Peziza in certain\n   kinds of decayed wood, as the beech, oak, birch, etc., and extracted as\n   an amorphous powder resembling indigo.","[医] 盘菌木素, 碗菌木素(染料)"
xylinite,,木煤体
xylit,,木糖醇
xylite,n. A liquid hydrocarbon found in crude wood spirits.,[机] 木糖醇
xylite-phthalic resin,,[化] 邻苯二甲酸木糖树脂
xylitol,,n. [化]木糖醇
xylitone,"n. A yellow oil having a geraniumlike odor, produced as a\n   side product in making phorone; -- called also xylite oil.",[医] 丙酮油
xylium,,树木群落
xylo,,利多卡因、硫双二氯酚、维生素D2复合制剂(消炎、镇痛外用药)
xylo-," A combining form from Gr. xy`lon wood; as in xylogen,\n   xylograph.",表示“木”之义
xyloascorbic acid,,[化] 木糖型抗坏血酸
xylobalsamum,n. The dried twigs of a Syrian tree (Balsamodendron\n   Gileadense).,(吉利亚德产的)香树脂
Xylocaine,n a local anesthetic (trade names Lidocaine and Xylocaine) used topically on the skin and mucous membranes,"n. [药]赛罗卡因,利多卡因,木卡因"
xylocarp,,n. 木质果
xylocarpous,a. Bearing fruit which becomes hard or woody.,a. 木质果的
Xylocarpus Koenig,,[医] 木果楝属
xylocassia,,[医] 决明木
xylochloral,,[化] 木糖三氯乙醛
xylochlore,,鱼眼石
xylochrome,,木质光敏素
xylocinnamomum,,肉桂(树)
Xylocopa,,[网络] 木蜂属
Xylocopidae,,木蜂科
xylocryptite,,木晶蜡
xylofusinite,,木质丝煤
xylogen,n. Nascent wood; wood cells in a forming state.\nn. Lignin.,"n. 木质素, 木纤维"
xylogenesis,,木质部发生
xyloglyphy,,n. 木刻术
xylograph,"n. An engraving on wood, or the impression from such an\n   engraving; a print by xylography.","n. 木版, 木版画, 木刻版"
xylographer,n. One who practices xylography.,n. 木刻者
xylographic,a. Alt. of Xylographical,"a. 木刻的, 木版的, 木版画的"
xylographical,"a. Of or pertaining to xylography, or wood engraving.","a. 木刻的, 木版的, 木版画的"
xylography,n. The art of engraving on wood.\nn. The art of making prints from the natural grain of\n   wood.\nn. A method pf printing in colors upon wood for purposes\n   of house decoration.,"n. 木刻(术), 木版画印画法"
xyloid,a. Resembling wood; having the nature of wood.,"a. 木质的, 似木质的"
xyloidin,"n. A substance resembling pyroxylin, obtained by the action\n   of nitric acid on starch; -- called also nitramidin.","[医] 木炸药, 赛劳丁硝化淀粉(一种炸药)"
xyloketose,,木酮糖
xyloketosuria,,[医] 木酮糖尿
xylol,n a colorless flammable volatile liquid hydrocarbon used as a solvent,n. 混合二甲苯\n[化] 二甲苯
xylol musk,,[化] 二甲苯麝香
xylolite,,"(水泥与锯屑制成的)木花[屑]板, 菱苦土木屑板"
xylology,,n. 树木构造学
xyloma,,菌核荚
xylomancy,,n. 木片占卜术
Xylomelum,,[网络] 澳洲花果树
Xylomelum pyriforme,,[网络] 木槿
xylometazoline,,丁苄唑啉(拟肾上腺素药)
xylometer,,n. 木材比重计
xylon,,"木质, 木纤维"
xylonamide,,[化] 木质酰胺
xylonic acid,,[化] 木质酸\n[医] 木糖酸
xylonite,n. See Zylonite.,"n. (英)赛璐珞, 假象牙\n[医] 赛璐珞, 假象牙"
xylopal,,[化] 木蛋白石; 木化石
xylophagan,n. One of a tribe of beetles whose larvae bore or live in\n   wood.\nn. Any species of Xylophaga.\nn. Any one of the Xylophagides.,a. 蚀木虫的
xylophage,,[罕]食木虫
xylophagous,"a. Eating, boring in, or destroying, wood; -- said\n   especially of certain insect larvae, crustaceans, and mollusks.\na. Of or pertaining to the genus Xylophaga.","a. 食木的, 蚀木的, 蛀木的"
xylophilous,a. Of or pertaining to the xylophilans.,"a. 喜木的,适木的,木生的"
xylophone,n a percussion instrument with wooden bars tuned to produce a chromatic scale and with resonators; played with small mallets,n. 木琴
xylophones,n. a percussion instrument with wooden bars tuned to produce a chromatic scale and with resonators; played with small mallets,n. 木琴( xylophone的复数形式 )
xylophonist,n. someone who plays a xylophone,n. 木琴演奏员
xylophonists,,木琴演奏家( xylophonist的名词复数 )
xylophyta,,n. 木本植物
Xylopia,,[网络] 木瓣树属；非洲常绿树
Xylopia aethiopica,,[网络] 树；黑胡椒
xylopine,,木番荔枝碱
xylopinine,,(=l-norcoralydine)番荔枝宁
xylopropamine,,[化] 二甲苯丙胺; 赛洛丙胺
xylopyranose,,"[化] 吡喃木糖; 六环木糖\n[医] 吡喃木糖, 木糖"
xylopyrography,"n. The art or practice of burning pictures on wood\n   with a hot iron; -- called also poker painting. See Poker picture,\n   under Poker.", 烫画
xyloquinone,n. Any one of a group of quinone compounds obtained\n   respectively by the oxidation of certain xylidine compounds. In general\n   they are yellow crystalline substances.,[化] 二甲基醌
xylorcinol,,"(=4, 6-dimethylresorcinol) 木间二酚, 4, 6-二甲基苯间二酚"
xyloretinite,,针脂石
xylosazone,,[医] 木糖ㄌ
xylose,n a sugar extracted from wood or straw; used in foods for diabetics,n. 木糖\n[化] 木糖
xylose clearance test,,[医] 木糖廓清试验(检肾机能)
xylose coacentration test,,[医] 木糖浓缩试验(检肾机能)
xylose isomerase,,[机] 木糖异构
xylose tolerance test,,[医] 木糖耐量试验(检肾机能)
xylosic acid,,[化] 木糖酸
xylosic alcohol,,[化] 木糖醇
xyloside,,木糖苷
xylosidoglucose,,"[医] 木糖葡萄糖甙, 樱草糖, 报春花糖"
Xylosma,n shrub or small tree grown as an ornamental in mild climates for its neat evergreen foliage and fragrant late flowers; native of China,"柞木属, 剌柞属"
Xylosma congestum,,[网络] 柞木
Xylosma Forst. f.,,"[医] 刺柞属, 柞木属"
Xylosma racemosum O. Kuntze,,"[医] 刺柞, 柞木"
xylosone,,"木酮(醛)糖, 戊沙罗糖"
xylostein,"n. A glucoside found in the poisonous berries of a species\n   of honeysuckle (Lonicera xylosteum), and extracted as a bitter, white,\n   crystalline substance.",忍冬苷
xylostroma,,"根皮鬃, 根皮子座"
xylostyptic ether,,[医] 止血火棉胶
xylosuria,,[医] 木糖尿
xylotelinite,,木质结构凝胶体
xylotherapy,,[医] 木[质]疗法(暗示疗法的一种)
xylotile,n. Same as Parkesine.,n. [矿]换质石棉
xylotomist,,木材解剖学家
xylotomous,,"a. 能钻木的, 有蚀木能力的"
xylotomy,,"n. 木材解剖术, 木材切片术"
Xylotrya,"n. A genus of marine bivalves closely allied to Teredo, and\n   equally destructive to timber. One species (Xylotrya fimbriata) is very\n   common on the Atlantic coast of the United States.",穿木属
xylovitrain,,木质镜煤
xylovitrite,,镜煤
xylovitrofusinite,,木质镜质丝质体
xyloyl,,(=dimethylbenzoyl)二甲苯酰
xylplant,,木材植物
xyltile,,木材化石
xylulokinase,,木酮糖激酶
xylulose,,木酮糖
xylychloride,,甲苄基氯
xylyl,n. Any one of three metameric radicals which are characteristic\n   respectively of the three xylenes.,"n. 二甲苯基, 甲苄基\n[化] 二甲苯基; 甲苄基"
xylyl alcohol,,[化] 苯二甲醇; 甲基苄醇
xylyl bromide,,"[医] 溴化二甲苯, 溴化苄"
xylyl chloride,,[医] 氯化二甲苯
xylyl hydrazine,,[化] 二甲苯肼; 甲苄基肼
xylyl-mercaptan,,[化] 苯二甲硫醇; 甲苄基
xylylamine,,甲苄胺
xylylchloride,,[化] 甲苄基氯
xylylene,"n. Any one of three metameric radicals, CH2.C6H4.CH2,\n   derived respectively from the three xylenes. Often used adjectively;\n   as, xylylene alcohol.",n. 苯撑二甲基\n[化] 苯二甲基
xylylene alcohol,,[化] 苯二甲醇
xylylene amine,,[化] 苯二甲胺
xylylene bromide,,[化] 苯二甲基溴
xylylene chloride,,[化] 苯二甲基氯
xylylene cyanides,,[化] 苯二甲基氰
xylylene dichlorides,,[化] 苯二甲基氯
xylylene glycol,,[化] 苯二甲醇
xylylenediamine,,[医] 二甲苯二胺
xylylenimine,,二氢异吲哚
xylylol,,二甲苯基二醇
xymalos,,野柠檬
xyphoid,,"n. 剑状软骨, 剑状突起\na. 剑状的"
Xyphophorus,,[网络] 剑尾鱼
Xyphophorus helleri,,[网络] Xiphophorus helleri
xyptal,,醇酸塑料
xyranit,,木糖醇制剂
Xyridaceae,n. plants of tropical to temperate regions; usually in wet places,黄眼草科
Xyridales,,[网络] 黄眼草目
xyris,"n. A genus of endogenous herbs with grassy leaves and small\n   yellow flowers in short, scaly-bracted spikes; yellow-eyed grass. There\n   are about seventeen species in the Atlantic United States.",n. 黄眼草属
xysma,,"[医] 絮片, 假膜片(见于腹泻粪便中)"
xysmalobin,,野棉根苷
xyst,n. Alt. of Xystus,"n. 门廊, 林木夹道"
xystarch,n. An office/ having the superintendence of the xyst.,n. 竞技场监守官
xyster,"n. An instrument for scraping bones.\n   Y () Y, the twenty-fifth letter of the English alphabet, at the\n   beginning of a word or syllable, except when a prefix (see Y-), is\n   usually a fricative vocal consonant; as a prefix, and usually in the\n   middle or at the end of a syllable, it is a vowel. See Guide to\n   Pronunciation, // 145, 178-9, 272.","n. 刮骨刀, 骨刮\n[医] 括骨刀, 骨刮, 刮器"
xystus,"n. A long and open portico, for athletic exercises, as\n   wrestling, running, etc., for use in winter or in stormy weather.",n. 古希腊室内运动场
xyy,, [医][=an abnormal sex chromosome type]一种异常性染色体组型
xyz,,n. 坐标轴；未知数
xyzpdq,"Abbreviation for ""Examine Your Zipper Pretty Damn Quick""\n> Hey, Dickweed! XYZPDQ! Your fly is open!\n",
XYZZY,"The quintessential magic word, originally from the ""ADVENT"" text-adventure game. The word XYZZY would teleport the player when spoken in the right location.\n> (From ADVENTURE)\n> >You are in a room filled with debris washed in from the surface. A low wide passage with cobbles becomes plugged with mud and debris here, but an awkward canyon leads upward and west.  A note on the wall says ""MAGIC WORD XYZZY"".\n",
xz,,abbr. 行政类；旋转字注解（排版用词）；缅甸（航空器国籍标志）
xzavier,person who is a complete badass and a great friend everyone wants to get to know him and hangout with him\n> look at xzavier he's so cool\n,
xzibit,, [人名]艾勒比
